YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YLR459W	-0.31	-0.27	-0.1	0.15	0.21	0.06	0.43	0.04	0.25	-0.38	0.03	-0.32	0.1	-0.1	0.14	0.05	-0.12	-0.31
YLR460C	-0.54	0.1	-0.62	-0.12	-1.55	-0.39	-0.48	-0.62	-0.45	-0.24	-0.07	-0.33	-0.16	-0.99	0	-0.76	-0.5	-0.44
YLR461W	0.03	-0.06	0.19	0.11	-0.07	-0.23	-0.26	-0.47	-0.06	-0.58	0.02	-0.15	-0.02	-0.02	0.01	-0.1	-0.45	-0.5
YLR462W	-0.76	0.2	1.07	1.13	-0.11	-0.04	-0.42	-0.33	-0.17	0.36	0.88	1.3	0.4	-0.04	-0.27	-0.05	-0.34	0.08
YLR463C	-0.6	-0.02	1.62	1.14	0.09	-0.03	-0.53	-0.23	0	0.28	1.14	1.19	0.27	0.12	0.07	0.14	-0.62	-0.06
YLR464W	-0.51	0	1.27	0.71	0.17	-0.18	-0.28	-0.36	-0.14	0.27	0.85	1.06	0.32	0.14	-0.01	-0.12	-0.2	-0.1
YLR465C	-0.54	-0.25	1.35	1.33	0.29	-0.01	-0.26	-0.31	-0.31	0.1	0.77	1.04	0.4	-0.01	0.03	-0.02	-0.05	-0.21
NORF 7	0.16	1.1	0.72	1.02	0.03	0.11	-0.18	-0.41	-0.33	-0.12	-0.36	-0.28	-0.16	-0.81	-0.72	-0.4	-0.36	-0.31
YLR466W	-0.41	-0.07	1.03	0.31	0.29	-0.45	-0.18	-0.73	-0.32	0.25	0.42	0.88	0.31	0.02	-0.41	-0.24	-0.34	-0.07
YLR467W	-0.49	-0.27	1.18	0.9	0.31	-0.07	-0.28	-0.61	-0.3	0.25	0.86	0.88	0.35	0.06	0.04	-0.16	-0.14	-0.24
YLL018C	0.48	0.23	0.29	0.31	0.21	0.11	0.15	0.21	0.29	0.17	0.39	0.31	0.17	0.41	0.38	0.32	0.09	0.27
YLL017W	-0.23	-0.12	0.12	-0.14	0	0.02	-1.57	-0.14	-0.26	-0.23	-0.61	-0.3	-0.15	-0.6	0	-0.34	-0.21	-0.16
YLL016W	-0.08	-0.08	-0.56	-0.51	-0.17	-0.34	-0.32	-0.21	-0.25	-0.19	0.51	-0.52	-0.23	-0.05	0.7	0.28	-0.59	-0.8
YLL015W	0	0.78	0	0	0	0	-0.17	-1.87	-1.17	0	-0.33	0	-0.09	0	0	0.31	-1.56	-0.37
YLL065W	-0.33	-0.12	0.07	0.04	-0.4	-0.03	-0.18	-0.49	-0.23	-0.53	-0.15	-0.02	0.01	-0.24	-0.43	-0.3	-0.46	-0.2
YLL014W	0.1	-0.12	0.03	0.05	0.05	0.61	0.17	0	-0.12	-0.31	-0.19	-0.43	-0.08	-0.32	0.18	-0.33	0.47	-0.49
YLL013C	-0.63	-0.75	-1.16	-0.23	-0.96	-0.31	-0.75	-0.53	-0.79	-0.69	-0.94	-0.12	-0.74	-0.67	-1.03	-0.08	-0.69	-0.35
NORF 8	-0.53	-0.13	-0.96	-0.34	0.06	-0.84	-0.4	-0.98	-0.66	-0.43	-0.65	-1.01	0	-0.8	0	-0.49	-0.48	-1.33
YLL012W	-0.15	-0.36	0.66	0.78	0.35	1.04	0.91	0.17	0.17	-0.07	-0.14	0.15	0.44	0.29	0.66	0.44	0.27	-0.22
YLL011W	0.02	-1.24	-1.06	-0.61	-0.4	-0.53	-0.04	-0.41	-0.19	-0.3	-0.28	-0.3	-0.08	-0.54	-0.64	-0.39	-0.42	-0.25
YLL010C	0.06	-0.11	-0.13	0	-0.3	0.54	0.14	0.22	-0.24	0.43	-0.16	-0.02	0.01	0.05	0.23	0.22	0.42	-0.03
YLL064C	0.05	-0.07	0.15	0.1	0.04	-0.23	-0.59	-0.08	-0.01	-0.47	0	-0.34	0.09	0.02	0.32	0.04	-0.5	-1.33
YLL009C	0.34	0.41	0.28	0.27	0.07	0.24	0.43	0.16	0.24	0.2	0.14	-0.16	0.18	-0.28	0.09	0.05	0.05	0.09
YLL008W	0.13	-1.01	-0.87	-0.33	0.07	0.15	0.43	0.15	0.27	0.13	0.06	-0.02	0.12	0.17	0.17	0.13	0.29	0.06
YLL007C	-0.05	-0.26	-0.36	-1.51	-0.6	-0.78	-0.21	-0.54	-0.28	-0.12	-0.39	-0.68	-0.27	-0.43	-0.23	-0.41	-0.07	-0.17
YLL006W	-0.27	-0.33	0.16	-0.28	-0.12	-0.04	0.17	-0.19	0.05	-0.1	-0.14	-0.17	-0.19	-0.18	0.04	-0.16	0.19	-0.27
YLL005C	-0.52	-0.47	-0.5	-1.49	-0.37	-0.75	-0.36	-0.56	-0.37	-0.06	-0.31	-0.65	-0.43	-0.6	-0.5	-0.18	-1.3	-0.39
YLL004W	-0.35	-0.75	-0.39	-0.33	0.18	0.12	0.33	-0.07	0.05	-0.3	-0.24	-0.19	0.11	-0.31	0.36	0.13	0.17	-0.38
NORF 9	-1.73	0	-1.9	0	-0.77	0	-0.92	0	-1.34	0.04	0	-1.58	0	0	0	0	0	0
YLL003W	-0.01	-0.19	0.09	0	0.07	-0.35	0.04	-0.2	0.01	0.11	0.56	0.04	0.12	-0.15	0	0.28	0	-0.04
YLL002W	-1.02	-0.58	0.5	0.73	0.1	0	-0.28	-0.58	-0.36	-0.21	0.36	0.62	0.3	0.11	-0.11	-0.16	-0.67	-0.66
YLL063C	0.06	-0.48	0.27	-0.2	-0.4	-0.04	-0.08	-0.03	-0.1	-0.45	-0.26	-0.04	-0.32	0.11	-1.77	-0.19	-0.16	0.03
YLL001W	-0.57	-0.09	-0.15	-0.31	-0.42	0.35	0.21	-0.04	0.1	0.24	0.02	-0.12	-0.09	0.02	-0.2	0.28	-0.24	-0.03
YLR001C	-0.14	0.12	-0.21	-0.04	-0.11	-0.53	-0.12	-0.38	-0.12	-0.24	-0.01	-0.15	0	-0.24	0.13	0.05	-0.47	-0.17
YLR002C	-0.03	-1.06	-1.15	-0.69	-0.11	0.03	-0.23	-0.11	0.03	0.46	0.36	-0.14	-0.35	0.11	-0.36	0.1	0.05	-0.14
YLR003C	-0.04	-0.56	-0.94	-0.39	-0.41	-0.09	0.01	0.08	0.43	-0.11	-0.12	-0.57	-0.23	-0.16	-0.22	-0.12	-0.11	0.23
YLR004C	-1.02	-2.38	-1.21	-1.51	0	-0.17	-0.49	-0.38	-0.37	-0.44	0.82	-1.08	-0.51	-0.18	0	-0.29	-0.01	-0.56
YLR005W	-0.19	-0.03	0.06	0.28	-0.09	0.18	0.05	0.14	0.11	-0.1	-0.01	-0.09	0.03	-0.25	-0.2	-0.04	-0.35	-0.1
YLR006C	-0.26	0.03	-0.29	-0.09	-0.43	0.29	-0.19	-0.17	-0.14	0.18	0.05	0.01	-0.31	0.21	-0.23	0.34	-0.02	-0.17
NORF 10	-0.95	-1.18	-1.04	-0.74	-0.18	-0.77	-0.98	-1.05	-1.21	-1.27	-1.06	-1.33	-0.98	-0.86	-0.66	-0.55	-0.59	-1.01
YLR007W	-0.11	0.12	-0.16	-0.24	-0.27	-0.39	-0.05	-0.29	0	-0.27	-0.27	-0.3	-0.02	-0.35	-0.41	-0.47	-0.37	-0.27
YLR008C	-0.02	-0.3	-0.36	-0.16	-0.01	-0.33	0.27	-0.25	-0.07	-0.12	-0.19	-0.4	-0.05	-0.47	-0.07	-0.33	-0.06	-0.26
YLL062C	0.21	0.21	0.53	0.08	-0.02	0.69	0.73	0.7	0.27	0.09	0.27	0.03	-0.22	-0.03	0.29	0.29	0.48	0.01
YLR009W	0.43	-0.85	-0.47	-0.06	-0.3	-0.24	0.31	0.59	0.39	0.27	0.23	0.07	0.19	0.33	0.21	0.25	0.58	-0.23
YLR010C	0.16	0.41	-0.05	-0.2	0.12	-0.28	-0.06	-0.05	-0.03	-0.15	-0.29	-0.14	0.01	-0.61	-0.45	-0.41	-0.3	-0.32
YLR011W	0.3	-0.06	0.41	0.11	-1.69	-0.11	0.24	0.42	0.42	0.43	0.48	0	0.1	-0.18	0.15	-0.09	0.43	-0.53
YLR012C	-0.08	-0.02	0.14	-0.93	0.18	-0.06	-0.22	-0.37	-0.2	-0.55	-0.19	-0.14	-0.31	-0.14	-1.06	-0.29	0	-0.11
YLR013W	0.34	-0.88	0.02	-0.04	-0.04	-0.24	0.23	-0.62	0.22	-0.14	-0.21	-0.3	0.23	-0.27	-0.26	0.18	-0.2	0.14
YLR014C	-0.03	-0.39	-0.27	-0.07	-0.04	-0.34	-0.12	-0.11	-0.11	-0.1	-0.11	-0.07	-0.22	-0.02	-0.14	-0.12	0.44	0.04
YLR015W	0.04	-0.6	-0.4	-0.09	0	-0.32	0.21	0.01	-0.06	-0.16	-0.26	-0.03	0.03	-0.36	-0.14	-0.17	0.25	-0.17
NORF 11	-0.68	2.36	-0.95	0	-1.03	0	-0.58	0	-0.4	-0.82	0	-0.74	0	-1.11	0	0	0	-0.59
YLR016C	0.01	-0.33	-0.26	-0.3	0.14	-0.01	0.03	-0.34	-0.08	0.23	-0.33	-0.23	-0.14	-0.12	-0.41	-0.25	0.17	-0.31
YLR017W	0.04	-0.5	-0.52	-0.27	-0.06	-0.2	0.14	-0.13	-0.07	-0.12	-0.15	-0.12	0.2	-0.19	0.16	-0.3	0	-0.3
YLR018C	-0.22	-0.14	0.21	0.48	0.19	0.04	-0.01	-0.1	-0.12	0.12	-0.04	0.26	-0.07	0.31	-0.41	-0.15	0.01	-0.07
YLL061W	0.28	0.31	0.01	-0.98	-0.08	0.33	1.41	0.48	0.36	-0.02	0.06	-0.26	-0.18	-0.76	-0.02	0.01	0.55	-0.1
YLR019W	-0.1	-0.09	-0.02	-0.12	-0.25	-0.39	-0.18	-0.27	-0.24	-0.08	-0.22	-0.15	-0.08	-0.12	-0.01	-0.22	0.27	-0.14
YLR020C	-0.34	-0.07	-0.19	0.32	-0.06	0.5	-0.16	-0.19	0.01	0.35	0.13	0.2	0.06	0.16	-0.24	0.19	0.03	-0.11
YLR021W	-0.34	1.19	-0.68	-0.35	-0.47	-0.41	-0.19	-0.41	-0.11	-0.39	-0.3	-0.45	-0.1	-0.36	-0.67	-0.45	-0.56	-0.33
YLR022C	-0.12	-0.21	-0.9	-0.19	-0.63	-0.07	-0.41	-0.1	-0.17	0.14	-0.23	-0.14	-0.31	-0.38	-0.79	-0.02	-0.17	-0.14
YLR023C	-0.05	0	-0.3	0.38	0	0.08	0.01	0.2	0.16	0.07	-0.05	0.01	0.07	0.07	0.03	0.18	0.08	0.26
YLR024C	0.56	0.15	-0.11	0.12	-1.2	0.38	-0.31	-0.29	-0.11	0.63	0.03	0.04	-0.02	0.23	-0.16	0.21	-0.21	0.04
NORF 12	-0.33	-0.19	-0.38	0.09	-0.33	-0.56	-0.26	-0.82	-0.56	-0.75	-0.27	-0.56	0.09	-1.14	-0.23	-0.69	0	-1.43
YLR025W	-0.07	0.05	-0.15	0.19	-0.3	-0.22	-0.15	-0.25	0.04	-0.14	-0.06	-0.09	-0.19	-0.33	-0.32	-0.03	-0.36	-0.02
YLR026C	-0.28	-0.14	-0.89	-0.31	-1.06	0.17	-0.19	-0.06	-0.06	0.2	-0.49	-0.09	-0.17	-0.09	-0.42	0.08	-0.15	0.02
YLR027C	0.26	0.11	0.05	0.34	0.3	0.39	0.7	0.55	0.79	0.41	0.55	0.44	0.38	0.11	0.44	0.41	0.17	0.31
YLR028C	-0.13	0.1	-0.05	0.01	-0.38	-0.05	-0.13	-0.15	0.31	0.43	0.1	0.06	-0.23	-0.07	-0.03	0.31	-0.22	0.1
YLR029C	0.49	0.14	-0.2	0.19	-0.17	0.15	0.11	0.24	0.49	0.12	0.39	0.16	0.22	0.17	0.62	0.58	0.38	0.4
YLR030W	-1.25	-0.05	0.14	-0.05	-1.03	-0.02	-0.43	-0.33	0.04	-0.29	-0.1	0.08	0	-0.17	0.13	0.56	-0.3	-0.54
YLR031W	-0.44	-0.56	-0.04	-0.12	-0.72	-0.57	-0.56	-0.53	-0.45	-0.89	-0.35	-0.5	-0.25	-0.56	-0.58	-0.7	-0.34	-0.37
YLR032W	-0.3	0.67	0.06	-0.08	-0.01	-0.55	-0.28	-1	-0.26	-0.08	0.2	0.27	0.01	0.11	-0.3	-0.06	-0.2	-0.42
YLR033W	-0.43	-0.87	-0.71	-0.58	-0.32	-0.61	0.09	-0.2	-0.01	-0.25	-0.27	-0.43	-0.13	-0.36	-0.02	-0.1	0.14	-0.31
YLR034C	0.44	0.39	0.69	0.03	0.4	0.35	0.95	0.71	1	0.8	0.38	0.32	0.13	0.56	0.61	0.31	0.79	0.69
NORF 13	0	0	0	1.36	0	0	0	0	0	0	0	0	0	0	0	0.58	0	-1.58
YLL060C	0.17	0.2	0.52	0.13	0.13	0.22	0.27	0.26	0.06	0.06	-0.54	0.03	-0.17	-0.06	-0.22	0.07	0.21	-0.28
YLR035C	-0.14	-0.24	-0.19	-0.03	0.06	-0.14	0.13	0.23	-0.05	-0.31	-0.21	-0.26	0.14	-0.23	0.34	0.08	0.13	-0.33
YLR036C	-0.4	-0.02	-0.01	-0.38	-0.16	-0.25	-0.05	0.03	0.15	-0.01	-0.21	-0.03	-0.19	-0.06	0.04	-0.13	0.04	-0.08
YLR037C	0.06	-0.17	-0.04	-0.1	0.17	-0.49	-0.03	-0.36	-0.07	-0.42	-0.21	-0.24	0.15	-0.16	0.1	-0.18	0.13	-0.55
YLL059C	0.14	0.63	0.13	0.33	0.04	0.15	0.13	0.16	-0.11	0.08	-0.08	0	0.09	-0.15	-0.16	-0.15	-0.52	-0.28
YLR038C	-0.28	0.08	0.03	-0.21	-0.19	-0.52	-0.2	-0.84	-0.09	-0.31	-0.15	-0.22	-0.09	-0.32	0.05	-0.45	-0.15	-0.35
YLR039C	-0.22	-0.53	0.01	-0.38	0.09	-0.24	-0.09	-0.13	-0.3	-0.18	-0.14	-0.1	-0.1	-0.06	0.12	-0.08	0.09	-0.41
YLR040C	-0.01	-0.56	-0.55	-1.35	-0.58	-1	-0.71	-1.28	-0.64	-0.74	-0.8	-0.73	-0.69	-0.83	-0.73	-0.73	-0.81	-1.11
YLR041W	0.16	-0.36	-0.64	-0.95	-0.69	-0.29	-0.57	0.01	-0.55	-0.82	-0.76	-0.44	-0.11	-0.61	-0.81	-0.56	-0.77	-0.61
NORF 14	-0.16	1.32	-0.29	1.07	0.38	-0.94	0	-0.58	-0.45	0	-0.07	-1.58	0	0	0	-0.5	0	1.27
YLR042C	0.7	0.07	-0.29	-0.34	-0.11	-0.33	-0.47	-0.81	-0.72	-0.09	-0.32	0.4	1.05	0.51	0.15	-0.02	-0.38	-0.17
YLR043C	0.07	0.04	-0.05	-0.04	0.02	-0.28	-0.08	-0.18	-0.22	-0.31	-0.11	-0.54	-0.11	-0.52	0.21	-0.36	0.28	-0.41
YLR044C	0.04	0.14	-0.12	0.05	0.29	0.57	0.38	0.28	0.44	0.62	0.55	0.36	0	0.31	0.33	0.66	0.02	0.28
YLR045C	-1.74	-0.49	-1.12	-0.06	-0.02	0.37	0.35	0.01	-0.19	-0.55	-0.39	0.17	-0.12	0.17	0.3	0.61	-0.3	-0.18
YLL058W	0.14	-0.01	0.51	0.56	0.96	0.85	0.49	0.49	0.14	0	0.49	0.11	0.1	0.5	0.82	0.56	0.6	0
YLR046C	-0.2	0.39	0.06	0.06	0.1	0.59	0.14	0.24	0.11	0.44	-0.04	0.13	0	0.35	0.06	0.33	0.2	0.23
YLR047C	-0.2	-0.33	-0.12	-0.15	-0.03	0.04	0.19	-0.05	0.23	-0.04	0.05	-0.08	-0.05	0.05	0.2	0.27	-0.2	0.09
YLR048W	0.04	0.2	0.01	0.12	-0.06	0.33	0.04	0.45	0.12	0.4	0.04	0.17	0	0.34	0.18	0.31	0.22	0.32
YLR049C	-1.76	0.07	-0.06	0.23	-0.31	-0.82	-1.36	-1.53	0	0.51	1.1	0.83	0.27	-0.4	-0.57	-0.73	-1.25	-0.61
YLR050C	-0.47	0.07	0.23	0.43	0.02	0.61	0.07	-0.34	-0.37	-0.21	-0.46	0.04	0.13	0.19	-0.18	-0.07	-0.45	-0.49
NORF 15	-0.39	0.04	-0.37	-0.48	-0.2	-0.92	-0.38	-1.1	-0.25	-0.74	-0.3	-0.66	-0.49	-0.3	-0.11	-0.47	-0.83	0.94
YLR051C	0.16	-0.58	-0.59	0.03	-0.18	-0.02	-0.13	0.2	-0.07	-0.01	0.03	0.08	0.06	-0.51	-0.47	0.02	-0.28	0.01
YLR052W	-0.19	-0.01	-0.42	-0.09	-0.13	0.14	-0.26	-0.02	-0.06	0.27	-0.23	0.09	-0.1	-0.07	-0.36	-0.01	0.02	-0.01
YLR053C	0.09	0.48	0.07	0.13	0.04	0.03	-0.27	0.08	-0.13	-0.38	-0.27	-0.23	0	-0.35	-0.47	-0.1	-0.2	-0.3
YLR054C	-0.15	0.11	-0.33	-0.15	-0.4	0.25	-0.24	-0.04	-0.11	0.27	-0.27	-0.26	-0.26	0.02	-0.55	0.04	-0.22	-0.24
YLR055C	-0.48	-0.34	-0.49	-0.15	-0.38	-0.38	0	-0.12	0.11	0.04	0.13	-0.06	-0.11	-0.32	-0.01	0.18	-0.1	-0.03
YLR056W	-0.89	-1.23	-0.78	-0.54	0.48	0.36	1.1	0.3	0.56	0.21	0.16	-0.01	0.26	0.18	0.55	0.25	0.57	-0.08
YLR057W	0	-0.61	-0.45	-0.74	-0.27	-0.9	-0.5	0.27	0.29	-0.12	0.02	-0.24	-0.38	-0.69	-0.3	0.04	0.24	0.27
YLL057C	0.28	0.07	0.22	-0.76	0.17	-0.18	0.03	-0.27	-0.2	-0.2	-0.22	-0.16	0.03	-0.4	-0.11	-0.38	-0.13	-0.4
YLR058C	-0.39	0.76	0.86	0.14	0.06	-0.51	0.33	0.19	0.55	0.23	0.18	-0.12	-0.41	-0.23	0.12	0.44	0.88	0.58
YLR059C	0.06	-0.5	-0.37	-0.46	-0.01	-0.42	0.11	-0.21	-0.04	-0.36	-0.21	-0.46	-0.11	-0.46	0.08	-0.3	0.03	-0.42
NORF 16	0.06	-0.28	0.17	-0.07	0.32	0.55	0.41	0	0.04	-0.06	-0.03	-0.13	0.09	-0.04	0.26	-0.01	0.47	-0.03
YLR060W	0.07	-0.02	-0.06	-0.58	-0.06	-0.43	0.19	-0.28	0.18	0.02	0.05	0.01	-0.01	-0.02	0.1	-0.05	0.21	-0.01
YLR061W	-0.03	-0.18	-0.26	-0.3	-0.14	-0.3	-0.04	0.09	-0.11	-0.06	-0.2	-0.46	0.01	-0.25	0.27	-0.23	0.47	-0.22
YLR062C	0.14	0.08	0.15	-0.5	0	-0.47	0.12	-0.26	0.14	0.04	0.06	-0.31	0.08	-0.1	0.26	-0.19	0.45	0.01
YLR063W	-0.26	-1.45	-0.26	-0.37	-0.16	-0.38	-0.05	0.02	-0.06	-0.52	-0.39	-0.46	-0.1	-0.65	-0.17	-0.16	-0.06	-0.45
YLR064W	0.05	0.24	0.09	-0.47	-0.01	-0.18	0.06	-0.09	-0.09	-0.33	-0.45	-0.46	-0.15	-0.4	-0.13	-0.54	0.27	-0.29
YLR065C	0.24	0.17	0.14	0.25	0.22	0.04	0.32	-0.1	-0.06	-0.4	-0.03	-0.16	0.27	-0.26	0.31	-0.27	0.36	-0.33
YLR066W	0.14	0.54	0.55	-0.09	0.3	0.28	0.23	0.05	0.09	-0.07	-0.05	-0.18	0.16	-0.13	0.1	-0.48	0.39	-0.22
YLR067C	-0.24	-0.76	-0.42	-0.22	-0.31	-0.36	-0.18	-0.25	-0.26	-0.49	-0.36	-0.2	-0.21	-0.28	-0.19	-0.26	-0.01	-0.39
YLR068W	-0.26	-0.47	-1.14	-0.42	-1.5	0.16	-0.11	-0.07	0.1	0.43	-0.51	-0.14	-0.12	0.04	-0.84	0	-0.36	0.12
YLR069C	0	0.13	0	0.12	-0.11	0.1	0.13	-0.03	0.29	0.11	0.29	0.16	0.1	-0.28	0.15	0.3	-0.33	-0.1
NORF 17	-0.2	-0.37	-0.31	-0.22	-0.34	-0.54	-0.14	-0.41	-0.11	-0.35	-0.24	-0.35	-0.17	-0.3	-0.03	-0.46	0.22	0.52
YLL056C	0.17	-0.52	0.37	-0.15	-0.3	-0.64	-0.03	0.08	0.03	-0.23	-0.4	-0.23	-0.14	-0.1	-0.18	0.71	-0.04	-0.89
YLR070C	-0.46	0	-1.35	-0.58	-1.94	-0.1	0.89	-0.16	0.01	0.06	-0.41	-0.35	-0.28	-0.24	-0.67	-0.16	-0.21	-0.12
YLR071C	-0.12	0.01	-0.12	-0.02	-0.08	-0.08	0.14	0.03	0.21	-0.15	0.3	0.03	0.03	-0.14	0.24	0.36	-0.22	0
YLR072W	-0.61	-0.21	-1.12	-0.6	-0.7	-0.4	-0.22	-0.4	-0.1	0.11	0.03	-0.13	-0.12	-0.49	-0.4	0.1	-0.34	-0.21
YLR073C	0.04	-0.11	-0.5	-0.01	-0.02	0.04	0.03	0.25	0.17	0.31	0	-0.18	0.12	-0.05	-0.16	0.17	-0.01	-0.08
YLR074C	0.14	-0.42	-1.55	0	-0.58	-0.41	-0.03	-0.18	0.3	0.23	0.21	-0.11	0.11	-0.29	-0.35	0.13	-0.31	0.02
YLR075W	0.35	0.1	-0.05	0.18	0.15	0.11	0.05	0.14	0.52	0.13	0.47	0.02	0.34	0.17	0.57	0.4	0.23	0.26
YLR076C	0.09	0.25	-0.23	0.08	-0.11	0.1	0	0.13	0.31	0.58	0.24	0.08	0.14	-0.03	0.58	0.35	0.3	0.3
YLR077W	-0.35	0.03	-0.39	-0.14	-0.27	-0.37	-0.22	-0.46	-0.11	-0.31	0.04	-0.06	0.09	-0.26	0.07	0.05	-0.24	-0.19
YLR078C	0	-0.22	-0.42	0.15	-0.33	0.07	-0.09	-0.47	-0.14	0.07	-0.28	-0.53	-0.21	-0.56	-0.6	-0.29	-0.33	-0.17
NORF 18	-0.38	-0.52	-0.31	-0.19	-0.29	0.38	-0.12	-0.4	-0.1	-0.19	0.03	-0.34	-0.19	-0.52	0.09	-0.24	0.17	-0.18
YLR079W	-1.21	-0.73	-1.24	-0.76	-1.18	-0.92	-1.33	-1.24	-1.04	0.37	0.97	0.63	0.16	-0.08	-0.62	-0.58	-0.84	-0.23
YLR080W	0.18	0.18	0.21	-0.37	-0.08	-0.11	-0.19	-0.41	-0.26	-0.17	-0.08	0.03	-0.14	-0.09	-0.24	-0.18	0.09	-0.16
YLR081W	0.09	0.04	0.16	-0.18	0.22	-0.25	-0.02	-0.42	-0.31	-0.35	0.07	-0.07	0.27	-0.07	-0.1	-0.49	-0.26	-0.56
YLR082C	-0.34	-0.33	-0.56	-0.94	-0.47	-0.38	-0.43	-0.51	-0.34	-0.16	-0.3	0.02	-0.16	-0.24	-0.22	-0.3	-0.27	-0.22
YLR083C	-0.33	-1.1	-0.91	-0.8	-0.13	-0.23	0.35	-0.16	-0.06	-0.54	-0.35	-0.66	-0.17	-0.28	0.25	-0.13	0.02	-0.37
YLR084C	-0.17	-0.27	-0.04	-0.33	-0.17	-0.23	0.16	0.14	0.28	0.1	0.06	0.27	-0.21	-0.02	-0.18	0.19	0.03	0.27
YLR085C	0.06	-0.14	-0.16	0.17	0.19	0.1	0.07	0.08	-0.16	-0.16	-0.02	0.11	-0.01	0	0.15	0.14	-0.08	0.05
YLL055W	0	0.67	0.12	-0.62	-0.28	-0.7	-0.27	-0.55	-0.35	-0.6	-0.45	-0.37	-0.17	-0.68	-0.6	-0.55	0	-0.45
YLR086W	0.2	0.16	0.06	-0.68	0.17	-0.12	0.2	-0.12	0.12	0.11	-0.01	0.1	0.04	0.16	-0.1	0.12	-0.08	0.09
YLR087C	-1.37	0.52	-0.49	0.1	0.37	0.17	-0.04	-0.04	0.03	-0.41	0.18	-0.41	-0.05	-0.71	0.43	-0.1	0	-0.74
NORF 19	-1.1	0.31	0.14	-0.18	-0.56	-1.5	-0.61	-0.87	-0.33	-0.64	-0.43	-0.19	-0.24	-0.47	0.31	-0.72	-0.1	0.06
YLR088W	-0.55	-0.43	-0.36	-0.91	0.25	-0.12	0.1	-0.52	-0.21	-0.3	-0.27	0.02	0.07	0.06	-0.15	-0.19	-0.28	-0.26
YLR089C	-0.27	-0.42	-0.19	-0.42	-0.16	-0.8	-0.38	-0.7	-0.57	-0.61	-0.51	-0.73	-0.48	-0.71	0	-0.54	-0.14	-0.47
YLR090W	0.01	0.03	-0.22	0	-0.1	-0.22	0.08	-0.23	0.09	-0.12	-0.08	0.04	-0.08	-0.12	-0.29	-0.07	-0.19	-0.06
YLR091W	-0.58	-0.97	-0.45	-0.56	-0.44	-0.24	-0.52	-0.31	-0.28	-0.04	-0.67	-0.44	-0.27	-0.47	-0.34	-0.23	0.2	-0.55
YLR092W	-0.28	0.27	-0.62	-0.32	-1	0.05	-0.01	-0.11	-0.15	0	-0.27	-0.1	-0.26	0	-0.63	0.21	-0.07	-0.04
YLR093C	0.03	0.12	-0.28	-0.03	-0.39	-0.07	-0.36	-0.34	-0.14	-0.57	-0.13	-0.27	-0.14	-0.18	-0.17	-0.03	0	-0.36
YLR094C	-0.31	-0.43	-1.09	-0.44	-0.82	-0.36	-0.19	-0.47	-0.09	0.11	0.05	0.07	-0.17	-0.42	-0.53	-0.15	-0.67	-0.1
YLL054C	0.12	-0.59	0.01	-0.19	0.11	0.27	0.12	0.09	0.08	-0.12	0.17	-0.13	-0.07	-0.04	0.3	0	0.24	-0.36
YLR095C	-0.39	-0.24	-0.2	-0.06	-0.32	-0.14	-0.11	-0.14	0.11	-0.38	0.12	0.02	-0.19	0.16	0.08	0.25	-0.19	-0.07
YLR096W	-0.45	0	-0.66	0	-0.95	-0.26	-0.23	-0.25	0.16	0.36	0.16	-0.07	-0.32	-0.4	-0.24	0.19	0.1	-0.15
NORF 20	-0.64	-0.99	-0.93	-0.58	-0.54	0.03	-0.11	-0.11	-0.27	-0.27	-0.2	-0.39	-0.24	-0.38	0.11	-0.29	0.32	-0.02
YLR097C	-0.07	-0.35	-0.24	-0.21	-0.71	-0.47	-0.38	-0.03	-0.1	-0.44	-0.06	-0.23	-0.07	-0.17	-0.31	0.05	-0.35	-0.44
YLR098C	-0.53	0	-0.65	-0.55	-0.69	-0.07	0.1	0.28	0.45	0.72	0.16	0.06	-0.35	-0.34	-0.13	0.27	0.13	0.41
YLR099C	0.64	-0.2	-0.58	-0.4	-0.38	-0.04	0.13	0.04	0.1	-0.54	0.13	0.1	0.13	-0.04	0.17	0.35	-0.26	-0.12
YLR100W	-0.47	-0.28	-0.78	-0.35	-0.67	-0.26	-0.03	-0.3	0.16	0.27	0.02	0.01	0.01	-0.45	-0.16	-0.12	-0.34	0.06
YLR101C	-0.24	-0.44	-0.48	-0.2	-0.08	0.1	0.04	0.08	0.23	-0.41	0.14	-0.11	-0.09	-0.17	-0.02	0.06	-0.09	-0.12
YLR102C	-0.66	0.53	-0.89	-1.45	-1.24	-0.42	-0.28	-0.47	-0.19	0.15	-0.53	-0.51	-0.31	-0.6	-1.37	-0.08	-0.49	-0.06
YLR103C	-0.94	-0.2	1.05	0.97	0.38	0.2	-0.34	-0.46	-0.53	-0.63	0.55	0.82	0.44	0.13	-0.19	-0.04	-0.45	-0.67
YLR104W	0.08	0.35	0.16	0	0.02	-0.03	0.15	-0.17	0.02	0.1	-0.09	-0.01	0.01	-0.04	0.04	-0.1	0.2	-0.17
